;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;;;01.07.2018;01.07.2018;01.07.2018;01.07.2018;21.05.2018;03.04.2019;07.04.2020;08.04.2021;08.04.2022;10.04.2023;08.04.2024;17.04.2025;28.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;;;;;589.3;646.3;678.8;697.7;704.6;623.1;656.9;691.6;773.2;912.7;"1 046";"1 232";"1 316"
"Операционная прибыль, млрд руб";;;;;;;;;82.2;91.2;108.6;86.4;109.4;155.8;161.3;115.5;167.0;178.4
"EBITDA, млрд руб";;;;;;128.4;165.3;176.4;188.0;199.5;226.0;223.9;236.3;264.7;271.8;263.5;317.7;362.3
"Чистая прибыль, млрд руб";;;;;;51.7;-19.1;-5.85;1.48;4.12;1.11;53.4;16.0;-8.90;19.4;-31.5;-25.6;-155.4
"Чистая прибыль н/с, млрд руб";;;;;;71.9;-156.2;28.8;-11.8;-94.6;-45.9;28.6;10.2;17.3;19.4;;;
"Операционный денежный поток, млрд руб";;;;;;;;;104.7;98.6;88.6;106.3;136.8;121.6;49.0;74.1;1.14;78.4
"CAPEX, млрд руб";;;;;;;;106.6;122.9;104.4;124.0;117.6;127.8;167.2;158.6;149.3;189.3;230.3
"FCF, млрд руб";;;;;;;;;-3.48;9.91;-40.6;-23.7;2.88;-52.4;-119.3;-99.4;-213.3;-136.4
"Див.выплата, млрд руб";0.000;0.531;2.51;2.70;9.26;19.9;4.54;6.47;7.82;7.62;1.06;1.25;2.99;0.000;3.86;5.02;;
"Дивиденд, руб/акцию";0;0,055;0,26;0,28;0,96;2,06;0,47;0,67;0,81;0,79;0,11;0,13;0,31;0;0,41;0,52;;
"Див доход, ао, %";0.0%;0.2%;1.0%;1.2%;3.8%;4.6%;4.1%;3.8%;3.5%;6.5%;1.4%;0.9%;1.1%;0.0%;3.5%;3.2%;0.0%;0.0%
"Дивиденды/прибыль, %";;;;;;38%;0%;0%;528%;185%;95%;2%;19%;0%;20%;0%;0%;0
"Опер. расходы, млрд руб";;;;;;;;;261.0;275.3;238.7;268.5;267.4;295.6;296.8;227.9;245.6;240.0
"Себестоимость, млрд руб";;;;;;251.8;287.0;352.7;349.7;338.0;366.0;301.9;330.0;363.4;454.6;543.5;660.7;685.7
"Амортизация, млрд руб";;;;;;;;;;;;;120.5;134.2;145.8;148.0;150.7;165.3
"Расх на персонал, млрд руб";;;;;;;;136.4;142.1;132.4;134.0;142.1;141.8;159.9;183.7;219.7;243.0;
"Процентные расходы, млрд руб";;;;;;;45.0;48.3;59.8;46.3;67.4;83.1;70.3;71.5;115.8;130.3;252.9;291.2
"Активы, млрд руб";;;;;;;"1 137";"1 292";"1 104";"1 138";"1 465";"1 264";"1 421";"1 755";"2 098";"2 349";"2 761";
"Чистые активы, млрд руб";;;;;;467.0;233.7;245.6;217.0;47.9;17.1;41.4;64.9;85.4;105.2;66.3;13.5;
"Долг, млрд руб";;;;;;431.6;462.4;556.8;478.0;616.0;711.6;646.3;724.0;851.1;"1 061";"1 199";"1 485";
"Наличность, млрд руб";;;;;;40.7;28.8;168.5;96.0;88.0;114.2;63.7;113.7;81.9;134.4;137.5;157.9;
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;0.00;390.9;433.6;388.3;382.0;528.0;597.4;582.6;610.3;769.2;926.7;"1 062";"1 327";0
"Цена акции ао, руб";4.50;23.9;27.3;23.3;25.5;44.8;11.4;17.7;23.2;12.1;8.00;15.2;28.8;23.4;11.9;16.0;15.2;13.6
"Число акций ао, млн";"9 650";"9 650";"9 650";"9 650";"9 650";"9 650";"9 650";"9 650";"9 650";"9 650";"9 650";"9 650";"9 650";"9 650";"9 650";"9 650";"9 650";"9 650"
"Free Float, %";;;;;;;;33.1%;;;;;;;;32.6%;32.1%;33.0%
"Капитализация, млрд руб";43.4;230.2;263.0;224.9;246.0;432.3;110.0;170.3;223.6;116.7;77.2;147.0;277.9;226.1;114.5;154.6;146.6;131.0
"EV, млрд руб";43.4;230.2;263.0;224.9;246.0;823.2;543.6;558.6;605.6;644.7;674.6;729.7;888.2;995.3;"1 041";"1 216";"1 474";131.0
"Баланс стоимость, млрд руб";0.00;0.00;0.00;0.00;0.00;351.0;89.8;86.0;57.0;-103.9;-154.5;-105.2;-92.1;-143.7;-154.1;-191.1;-301.1;0
"EPS, руб";0.00;0.00;0.00;0.00;0.00;5.36;-1.98;-0.61;0.15;0.43;0.12;5.53;1.66;-0.92;2.01;-3.27;-2.65;-16.1
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-0.36;1.03;-4.20;-2.46;0.30;-5.43;-12.4;-10.3;-22.1;-14.1
"BV/акцию, руб";0.00;0.00;0.00;0.00;0.00;36.4;9.30;8.92;5.91;-10.8;-16.0;-10.9;-9.54;-14.9;-16.0;-19.8;-31.2;0
"Рентаб EBITDA, %";;;;;;21.8%;25.6%;26.0%;26.9%;28.3%;36.3%;34.1%;34.2%;34.2%;29.8%;25.2%;25.8%;27.5%
"Чистая рентаб, %";;;;;;8.8%;-3.0%;-0.9%;0.2%;0.6%;0.2%;8.1%;2.3%;-1.2%;2.1%;-3.0%;-2.1%;-11.8%
"Доходность FCF, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;-1.6%;8.5%;-52.6%;-16.1%;1.0%;-23.2%;-104.2%;-64.3%;-145.5%;-104.1%
"ROE, %";;;;;;11.1%;-8.2%;-2.4%;0.7%;8.6%;6.5%;129.0%;24.7%;-10.4%;18.5%;-47.6%;-189.3%;
"ROA, %";;;;;;;-1.7%;-0.5%;0.1%;0.4%;0.1%;4.2%;1.1%;-0.5%;0.9%;-1.3%;-0.9%;
P/E;;;;;;8.36;-5.75;-29.1;151.0;28.3;69.3;2.75;17.4;-25.4;5.90;-4.90;-5.73;-0.84
P/FCF;;;;;;;;;-64.3;11.8;-1.90;-6.20;96.5;-4.31;-0.96;-1.56;-0.69;-0.96
P/S;;;;;;0.73;0.17;0.25;0.32;0.17;0.12;0.22;0.40;0.29;0.13;0.15;0.12;0.10
P/BV;;;;;;1.23;1.23;1.98;3.92;-1.12;-0.50;-1.40;-3.02;-1.57;-0.74;-0.81;-0.49;
EV/EBITDA;;;;;;6.41;3.29;3.17;3.22;3.23;2.98;3.26;3.76;3.76;3.83;4.62;4.64;0.36
Долг/EBITDA;;;;;;3.05;2.62;2.20;2.03;2.65;2.64;2.60;2.58;2.91;3.41;4.03;4.18;0
"Персонал, чел";;;;;;;;;;;;;;;242;251;266;
"Производительность труда, млн руб/чел/год";;;;;;;;;;;;;;;"3 771";"4 167";"4 632";
"Расходы/чел/год, тыс.р";;;;;;;;;;;;;;;"759 091";"875 100";"913 534";
"R&D/CAPEX, %";;;;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;;;;;0%;0%;16%;18%;15%;20%;18%;18%;22%;17%;14%;15%;18%
