;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Дата отчета";18.07.2012;18.07.2012;18.07.2012;18.07.2012;31.01.2023;09.07.2018;09.07.2018;24.06.2018;24.06.2018;02.05.2018;14.03.2019;05.03.2020;02.03.2021;01.03.2022;03.03.2023;06.03.2024;13.03.2025;;27.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Установленная мощность, ГВт";;25.4;25.5;26.1;36.5;37.5;38.4;38.7;38.9;39.0;39.4;39.7;38.0;38.2;38.4;38.5;38.6;38.7;38.7
"Установл. тепл. мощность, Гкал/ч";;;;;;;;;18.0;18.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0
"Выработка электроэнергии, ТВт*ч";;;;101.8;106.8;119.0;108.2;107.9;119.4;121.1;124.7;121.0;131.0;126.5;115.6;120.8;124.4;125.2;125.2
"Отпуск э/э потребителям из сети, млрд кВт*ч";;;;102.3;106.9;118.8;108.3;108.7;119.4;121.7;125.0;116.2;126.3;122.0;111.1;116.2;120.0;120.7;120.7
"Отпуск тепл.энергии, млн Гкал";;;;;;;;30.4;31.5;29.9;29.7;29.8;29.4;30.1;29.3;29.8;29.1;29.3;29.3
"Выручка, млрд руб";;79.0;89.0;92.5;309.6;326.9;342.0;361.8;374.1;348.1;358.8;366.6;382.8;406.0;418.6;510.3;579.8;;638.1
"Операционная прибыль, млрд руб";;;;;;;33.9;34.7;47.5;47.8;61.4;11.2;59.2;57.3;37.8;96.0;111.2;;133.3
"EBITDA, млрд руб";;50.4;51.6;57.6;64.2;79.2;73.2;73.4;100.3;104.0;109.7;97.5;120.3;122.2;91.6;131.5;150.8;;171.3
"Чистая прибыль, млрд руб";;10.3;37.8;30.6;-25.3;21.0;39.6;47.4;66.1;62.7;70.8;51.5;67.0;78.4;44.7;78.6;67.4;;74.3
"Чистая прибыль н/с, млрд руб";;;;;;;24.1;27.2;39.8;22.5;31.8;0.640;46.4;41.6;21.1;33.6;-54.1;;
"Операционный денежный поток, млрд руб";;;;;;;;;71.4;78.1;84.9;75.7;99.0;98.7;66.2;103.1;117.2;;141.8
"CAPEX, млрд руб";;;;;;70.3;93.0;101.8;61.0;71.7;67.4;74.8;58.5;77.3;112.1;192.7;199.3;;230.2
"FCF, млрд руб";;;;;;;;-12.0;17.6;-1.82;12.5;7.00;27.9;15.7;-56.8;-115.7;-144.0;;-182.0
"Див.выплата, млрд руб";;;2.50;2.50;3.68;5.25;6.03;15.0;19.9;11.2;15.9;15.7;23.3;23.3;22.4;;;;
"Дивиденд, руб/акцию";;;0,00860091;0,00789317;0,00955606;0,01358751;0,01561855;0,038863;0,0466;0,02633;0,037;0,0367;0,053;0,053049;0,0503;;;;
"Див доход, ао, %";;0.0%;0.5%;0.8%;1.3%;2.4%;2.9%;5.7%;5.0%;3.6%;7.6%;6.6%;6.8%;7.2%;6.6%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;0%;7%;8%;0%;25%;15%;32%;30%;18%;22%;30%;35%;30%;50%;0%;0%;;0
"Опер. расходы, млрд руб";;;;;;265.8;290.8;315.1;315.7;303.8;314.9;336.6;340.0;368.7;408.7;473.9;531.7;;563.5
"Амортизация, млрд руб";;;;;;;;;;;;;;;31.6;34.8;39.5;;39.9
"Расх на персонал, млрд руб";;;;;56.9;65.1;65.5;72.9;71.8;74.4;75.9;80.4;80.2;83.8;93.7;107.1;121.0;;135.6
"Процентные расходы, млрд руб";;;;;;;;19.5;20.3;15.8;14.2;14.5;14.8;13.3;16.6;25.9;64.7;;58.3
"Активы, млрд руб";426.0;483.0;745.0;812.0;854.0;852.0;884.0;938.1;983.4;"1 028";931.9;925.1;942.0;930.5;993.4;"1 164";"1 366";;"1 590"
"Чистые активы, млрд руб";342.0;401.0;510.0;498.0;515.0;580.0;595.2;613.9;646.7;692.8;576.4;565.7;600.0;619.7;613.6;630.3;578.3;;610.2
"Долг, млрд руб";23.4;21.9;82.8;124.0;141.0;151.8;177.0;197.4;199.8;190.2;228.7;202.0;206.0;170.9;221.8;356.5;567.5;;730.3
"Наличность, млрд руб";29.7;58.6;52.8;57.3;93.6;87.6;72.3;70.6;76.5;74.6;99.3;97.0;114.0;66.8;41.2;34.7;91.3;;107.2
"Чистый долг, млрд руб";-6.30;-36.7;30.0;66.7;47.4;64.2;104.8;126.8;123.3;115.6;129.4;105.0;92.0;104.1;180.6;321.8;476.2;0.00;623.1
"Цена акции ао, руб";;1.14;1.65;0.966;0.734;0.568;0.542;0.680;0.926;0.729;0.486;0.555;0.784;0.742;0.761;0.712;0.516;0.417;0.431
"Число акций ао, млн";"444 793";;"288 695";"290 303";"317 638";"386 225";"386 225";"386 225";"386 225";"426 288";"426 288";"426 288";"439 289";"439 289";"444 793";"444 793";"444 793";"444 793";"444 793"
"Free Float, %";;;;;;;;;;;;;;;;;15.0%;;15.0%
"Капитализация, млрд руб";0.00;0.00;476.1;280.4;233.0;219.2;209.1;262.6;357.6;310.7;207.1;236.7;344.5;325.8;338.3;316.7;229.7;185.5;191.7
"EV, млрд руб";-6.30;-36.7;506.1;347.1;280.4;283.3;313.9;389.4;480.9;426.3;336.5;341.7;436.5;429.9;518.8;638.5;705.9;185.5;814.8
"Баланс стоимость, млрд руб";342.0;401.0;509.7;497.7;515.0;580.0;595.2;613.9;646.7;692.8;576.4;565.7;600.0;619.7;613.6;630.3;578.3;0.00;610.2
"EPS, руб";0.00;;0.13;0.11;-0.08;0.05;0.10;0.12;0.17;0.15;0.17;0.12;0.15;0.18;0.10;0.18;0.15;0.00;0.17
"FCF/акцию, руб";0.00;;0.00;0.00;0.00;0.00;0.00;-0.03;0.05;0.00;0.03;0.02;0.06;0.04;-0.13;-0.26;-0.32;0.00;-0.41
"BV/акцию, руб";0.77;;1.77;1.71;1.62;1.50;1.54;1.59;1.67;1.63;1.35;1.33;1.37;1.41;1.38;1.42;1.30;0.00;1.37
"Рентаб EBITDA, %";;63.8%;58.0%;62.2%;20.7%;24.2%;21.4%;20.3%;26.8%;29.9%;30.6%;26.6%;31.4%;30.1%;21.9%;25.8%;26.0%;;26.9%
"Чистая рентаб, %";;13.1%;42.5%;33.1%;-8.2%;6.4%;11.6%;13.1%;17.7%;18.0%;19.7%;14.0%;17.5%;19.3%;10.7%;15.4%;11.6%;;11.6%
"Доходность FCF, %";;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;-4.6%;4.9%;-0.6%;6.0%;3.0%;8.1%;4.8%;-16.8%;-36.5%;-62.7%;0.0%;-94.9%
"ROE, %";0.0%;2.6%;7.4%;6.1%;-4.9%;3.6%;6.7%;7.7%;10.2%;9.0%;12.3%;9.1%;11.2%;12.7%;7.3%;12.5%;11.7%;;12.2%
"ROA, %";0.0%;2.1%;5.1%;3.8%;-3.0%;2.5%;4.5%;5.0%;6.7%;6.1%;7.6%;5.6%;7.1%;8.4%;4.5%;6.8%;4.9%;;4.7%
P/E;;0.00;12.6;9.16;-9.20;10.4;5.28;5.54;5.41;4.96;2.93;4.60;5.14;4.16;7.57;4.03;3.41;;2.58
P/FCF;;;;;;;;-21.9;20.3;-170.4;16.6;33.8;12.3;20.8;-5.96;-2.74;-1.60;;-1.05
P/S;;0.00;5.35;3.03;0.75;0.67;0.61;0.73;0.96;0.89;0.58;0.65;0.90;0.80;0.81;0.62;0.40;;0.30
P/BV;0.00;0.00;0.93;0.56;0.45;0.38;0.35;0.43;0.55;0.45;0.36;0.42;0.57;0.53;0.55;0.50;0.40;;0.31
EV/EBITDA;;-0.73;9.81;6.03;4.37;3.58;4.29;5.31;4.79;4.10;3.07;3.50;3.63;3.52;5.66;4.86;4.68;;4.76
Долг/EBITDA;;-0.73;0.58;1.16;0.74;0.81;1.43;1.73;1.23;1.11;1.18;1.08;0.76;0.85;1.97;2.45;3.16;;3.64
"Персонал, чел";;;;;;"78 081";"77 030";"75 703";"71 528";"70 817";"69 665";"69 547";"66 018";"65 792";"67 625";"68 628";"72 429";;
"Производительность труда, млн руб/чел/год";;;;;;4.19;4.44;4.78;5.23;4.92;5.15;5.27;5.80;6.17;6.19;7.44;8.01;;
"Расходы/чел/год, тыс.р";;;;;;833.9;850.4;962.6;"1 003";"1 050";"1 089";"1 156";"1 215";"1 273";"1 386";"1 561";"1 671";;
"R&D/CAPEX, %";;;;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;0
"Цена/мощность, руб/кВт";;"-1 445";"19 845";"13 298";"7 682";"7 562";"8 167";"10 075";"12 369";"10 920";"8 541";"8 611";"11 485";"11 259";"13 498";"16 592";"18 302";"4 793";"21 053"
"CAPEX/Выручка, %";;0%;0%;0%;0%;21%;27%;28%;16%;21%;19%;20%;15%;19%;27%;38%;34%;;36%
