;2018Q4;2019Q4;2020Q4;2021Q2;2021Q4;2022Q2;2022Q4;2023Q2;2023Q4;2024Q1;2024Q2;2024Q4;2025Q2;LTM
"Дата отчета";02.11.2022;02.11.2022;02.11.2022;02.11.2022;02.11.2022;02.11.2022;05.05.2023;29.08.2023;25.04.2024;;29.08.2024;21.04.2025;29.08.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча золота, тыс тр унц";;;;;;;95;;;;;;;
"Выручка, млрд руб";;;;25.1;30.6;33.3;23.8;29.1;38.7;;34.1;41.8;44.2;85.9
"Операционная прибыль, млрд руб";;;;4.83;12.9;8.22;1.88;5.83;8.00;;5.78;12.3;7.13;19.4
"EBITDA, млрд руб";;;;10.8;18.5;13.3;11.9;12.9;18.0;;14.2;20.3;15.4;35.6
"Чистая прибыль, млрд руб";;;;4.70;7.84;-11.6;-8.45;-3.33;4.02;;5.43;3.39;7.30;10.7
"Операционный денежный поток, млрд руб";;;;8.31;8.89;11.0;7.30;8.28;9.85;;7.21;16.4;2.96;19.3
"CAPEX, млрд руб";;;;8.30;10.5;10.1;8.80;7.76;14.3;;11.8;13.9;10.2;24.2
"FCF, млрд руб";;;;-0.580;-1.57;0.500;-2.05;-0.240;-2.28;;-6.94;-0.848;-8.54;-9.39
"Див доход, ао, %";;;0.0%;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;;;0%;0%;0%;0%;0%;0%;;0%;0%;0%;0
"Опер. расходы, млрд руб";;;;3.00;1.26;3.90;2.40;2.90;6.11;;3.40;5.19;4.61;9.80
"Себестоимость, млрд руб";;;;17.3;16.5;21.2;19.5;20.4;24.6;;24.5;24.7;32.4;57.2
"Амортизация, млрд руб";;;;3.7;4.3;4.8;5.0;5.0;4.5;;5.6;5.6;5.7;11.2
"Расх на персонал, млрд руб";;;;;;;;5.61;;;7.57;8.24;11.0;19.3
"Процентные расходы, млрд руб";;;;0.660;0.840;1.07;1.13;1.23;1.97;;2.70;4.16;4.03;8.18
"Активы, млрд руб";51.7;59.1;90.8;;122.3;98.3;99.1;110.8;120.5;;137.5;154.6;169.0;169.0
"Чистые активы, млрд руб";24.3;25.6;38.2;;43.8;33.8;25.5;22.3;32.5;;45.4;48.0;55.3;55.3
"Долг, млрд руб";10.7;10.2;31.5;;46.4;36.5;51.4;36.5;33.8;;54.9;71.6;76.0;76.0
"Наличность, млрд руб";0.440;0.360;0.750;;1.80;0.230;0.650;1.52;0.580;;9.18;0.524;1.47;1.47
"Чистый долг, млрд руб";10.3;9.84;30.8;0.00;44.6;36.3;50.8;35.0;33.2;0.00;45.7;71.1;74.5;74.5
"Цена акции ао, руб";;;0.550;;0.550;0.550;0.550;0.550;0.639;0.876;0.826;0.749;0.648;0.801
"Число акций ао, млн";"200 100";"200 100";"200 100";"200 100";"200 100";"200 100";"200 100";"200 100";"200 100";"212 800";"212 800";"222 779";"222 779";"222 779"
"Free Float, %";;;;;;;;;6.30%;;;10.00%;11.0%;11.0%
"Капитализация, млрд руб";0.00;0.00;110.1;0.00;110.1;110.1;110.1;110.1;127.9;186.4;175.7;166.8;144.3;178.5
"EV, млрд руб";10.3;9.84;140.8;0.00;154.7;146.3;160.8;145.1;161.1;186.4;221.4;237.8;218.8;253.0
"Баланс стоимость, млрд руб";24.3;25.6;38.2;0.00;43.8;33.8;25.5;22.3;32.5;0.00;45.4;48.0;55.3;55.3
"EPS, руб";0.00;0.00;0.00;0.02;0.04;-0.06;-0.04;-0.02;0.02;0.00;0.03;0.02;0.03;0.05
"FCF/акцию, руб";0.00;0.00;0.00;0.00;-0.01;0.00;-0.01;0.00;-0.01;0.00;-0.03;0.00;-0.04;-0.04
"BV/акцию, руб";0.12;0.13;0.19;0.00;0.22;0.17;0.13;0.11;0.16;0.00;0.21;0.22;0.25;0.25
"Рентаб EBITDA, %";;;;43.1%;60.4%;39.8%;50.3%;44.3%;46.5%;;41.5%;48.5%;34.8%;41.5%
"Чистая рентаб, %";;;;18.7%;25.6%;-34.8%;-35.6%;-11.4%;10.4%;;15.9%;8.1%;16.5%;12.4%
"Доходность FCF, %";;;0.0%;;-2.0%;-1.0%;-1.4%;-2.1%;-2.0%;-1.4%;-5.2%;-4.7%;-6.5%;-5.3%
"ROE, %";0.0%;0.0%;0.0%;;28.6%;-11.1%;-78.6%;-52.8%;2.1%;;20.8%;18.4%;19.3%;19.3%
"ROA, %";0.0%;0.0%;0.0%;;10.3%;-3.8%;-20.2%;-10.6%;0.6%;;6.9%;5.7%;6.3%;6.3%
P/E;;;;0.00;8.78;-29.3;-5.49;-9.34;186.1;271.3;18.6;18.9;13.5;16.7
P/FCF;;;;0.00;-51.2;-102.9;-71.0;-48.1;-50.7;-74.0;-19.1;-21.4;-15.4;-19.0
P/S;;;;0.00;1.98;1.72;1.93;2.08;1.89;2.75;2.41;2.20;1.68;2.08
P/BV;0.00;0.00;2.88;;2.51;3.26;4.32;4.94;3.93;;3.87;3.47;2.61;3.23
EV/EBITDA;;;;0.00;5.28;4.61;6.38;5.84;5.21;6.03;6.89;6.91;6.14;7.11
Долг/EBITDA;;;;0.00;1.52;1.14;2.01;1.41;1.07;0.00;1.42;2.07;2.09;2.09
"R&D/CAPEX, %";;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;;;33%;34%;30%;37%;27%;37%;;35%;33%;23%;28%
