;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Дата отчета";;;;26.06.2018;26.06.2018;26.06.2018;26.06.2018;15.02.2019;14.02.2020;16.02.2021;15.02.2022;15.02.2023;15.02.2024;07.04.2025;17.02.2026;17.02.2026
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Доля поиска, %";;;;;;;;;;;;;63.8%;66.4%;69.3%;69.3%
"Выручка, млрд руб";20.0;28.8;39.5;50.8;59.8;75.9;94.1;127.7;175.4;218.3;356.2;521.7;798.1;"1 095";"1 441";"1 441"
"Операционная прибыль, млрд руб";;;;;;;;;;15.7;-13.3;13.2;63.9;51.6;173.6;173.6
"EBITDA, млрд руб";;13.1;17.4;21.0;21.1;26.1;29.1;39.6;51.0;45.2;32.1;64.1;120.8;188.6;280.8;280.8
"Чистая прибыль, млрд руб";5.77;8.22;13.5;17.0;9.68;14.1;15.4;22.1;23.5;20.4;8.01;10.8;52.1;100.9;141.4;141.4
"Чистая прибыль н/с, млрд руб";;;;;;6.80;8.66;45.7;11.2;23.4;-14.7;39.5;55.6;11.5;79.6;79.6
"Операционный денежный поток, млрд руб";;;;;;25.3;23.8;28.2;44.4;32.6;9.29;41.7;115.6;203.2;282.3;282.3
"CAPEX, млрд руб";;3.98;4.94;9.68;13.0;15.8;18.8;28.3;20.5;24.6;44.6;50.5;84.2;124.6;145.9;145.9
"FCF, млрд руб";;;;;;15.7;7.52;-0.100;24.1;8.16;-44.2;-10.9;-37.7;48.9;89.9;89.9
"Див.выплата, млрд руб";;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;58.0;74.1;74.1
"Дивиденд, руб/акцию";;0;0;0;0;0;0;0;0;0;0;0;0;160;190;190
"Див доход, ао, %";;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;4.0%;4.1%;3.9%
"Дивиденды/прибыль, %";0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;57%;52%;52%
"Опер. расходы, млрд руб";13.0;19.3;26.7;35.4;50.2;63.1;81.0;106.8;150.7;202.7;369.4;508.5;734.2;"1 043";"1 268";"1 268"
"Себестоимость, млрд руб";;7.19;10.6;14.3;19.8;16.8;23.9;35.9;55.8;85.7;174.0;233.2;360.0;;;
"Амортизация, млрд руб";;;;;;;;;;;;30.9;49.3;63.1;;71.1
"Процентные расходы, млрд руб";;;;;;;;;;;;;16.5;45.2;100.2;100.2
"Активы, млрд руб";;;;;111.8;114.1;130.2;259.1;291.1;515.6;515.5;616.7;746.4;"1 098";"1 368";"1 368"
"Чистые активы, млрд руб";29.0;37.0;46.6;55.7;70.1;77.1;82.8;183.5;194.9;324.8;258.2;316.3;296.3;293.8;;
"Долг, млрд руб";;0.000;0.000;26.3;27.4;18.8;17.8;0.000;0.000;83.3;85.8;51.2;140.8;296.1;537.2;537.2
"Наличность, млрд руб";13.1;22.4;48.6;49.2;57.8;63.0;65.7;68.8;88.3;238.2;107.2;83.3;96.5;211.6;407.7;407.7
"Чистый долг, млрд руб";-13.1;-22.4;-48.6;-22.8;-30.4;-44.3;-47.9;-68.8;-88.3;-154.9;-21.4;-32.1;44.3;84.5;129.5;129.5
"Цена акции ао, руб";;598.0;760.0;"1 025";"1 341";"1 247";"1 894";"1 930";"2 697";"5 140";"4 502";"1 814";"2 542";"3 978";"4 583";"4 851"
"Число акций ао, млн";315.5;326.7;319.3;318.5;330.1;327.0;332.5;331.7;329.9;366.0;363.3;361.5;361.5;390.5;390.5;390.5
"Free Float, %";;;;;;;;;;;;;23.0%;23.0%;30.0%;30.0%
"Капитализация, млрд руб";0.00;195.3;242.7;326.5;442.7;407.8;629.8;640.2;889.7;"1 881";"1 636";655.7;918.9;"1 554";"1 790";"1 894"
"EV, млрд руб";-13.1;173.0;194.1;303.7;412.2;363.5;581.9;571.4;801.4;"1 726";"1 614";623.6;963.2;"1 638";"1 919";"2 024"
"Баланс стоимость, млрд руб";29.0;36.0;43.0;41.5;55.5;63.1;68.5;117.9;132.4;198.7;118.0;140.8;125.1;-42.5;-187.1;-187.1
"EPS, руб";18.3;25.2;42.2;53.4;29.3;43.2;46.2;66.7;71.4;55.7;22.0;29.8;144.1;258.4;362.1;362.1
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;47.9;22.6;-0.30;72.9;22.3;-121.5;-30.3;-104.3;125.2;230.2;230.2
"BV/акцию, руб";91.8;110.1;134.7;130.2;168.2;193.1;205.9;355.5;401.2;543.0;324.7;389.4;346.1;-108.8;-479.1;-479.1
"Рентаб EBITDA, %";0.0%;45.5%;44.0%;41.3%;35.2%;34.4%;30.9%;31.0%;29.1%;20.7%;9.0%;12.3%;15.1%;17.2%;19.5%;19.5%
"Чистая рентаб, %";28.8%;28.6%;34.1%;33.5%;16.2%;18.6%;16.3%;17.3%;13.4%;9.3%;2.2%;2.1%;6.5%;9.2%;9.8%;9.8%
"Доходность FCF, %";;0.0%;0.0%;0.0%;0.0%;3.8%;1.2%;0.0%;2.7%;0.4%;-2.7%;-1.7%;-4.1%;3.1%;5.0%;4.7%
"ROE, %";19.9%;22.2%;28.9%;30.5%;13.8%;18.3%;18.5%;12.1%;12.1%;6.3%;3.1%;3.4%;17.6%;34.3%;;
"ROA, %";;;;;8.7%;12.4%;11.8%;8.5%;8.1%;4.0%;1.6%;1.7%;7.0%;9.2%;10.3%;10.3%
P/E;0.00;23.8;18.0;19.2;45.7;28.9;41.0;28.9;37.8;92.2;204.3;60.9;17.6;15.4;12.7;13.4
P/FCF;;;;;;26.0;83.8;"-6 402";37.0;230.6;-37.0;-60.0;-24.4;31.8;19.9;21.1
P/S;0.00;6.79;6.14;6.43;7.40;5.37;6.70;5.01;5.07;8.62;4.59;1.26;1.15;1.42;1.24;1.31
P/BV;0.00;5.43;5.64;7.87;7.97;6.46;9.20;5.43;6.72;9.47;13.9;4.66;7.35;-36.6;-9.57;-10.1
EV/EBITDA;;13.2;11.2;14.5;19.6;13.9;20.0;14.4;15.7;38.2;50.2;9.72;7.97;8.69;6.83;7.21
Долг/EBITDA;;-1.71;-2.79;-1.09;-1.44;-1.70;-1.65;-1.74;-1.73;-3.43;-0.66;-0.50;0.37;0.45;0.46;0.46
"Персонал, чел";;"3 761";"4 902";"5 616";"5 463";"6 271";"7 445";"8 767";"10 092";"11 864";"18 004";"20 850";"26 361";"28 992";"31 537";"31 537"
"Производительность труда, млн руб/чел/год";;7.65;8.06;9.04;10.9;12.1;12.6;14.6;17.4;18.4;19.8;25.0;30.3;37.8;45.7;45.7
"Расходы/чел/год, тыс.р";;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
"R&D/CAPEX, %";;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";0%;14%;12%;19%;22%;21%;20%;22%;12%;11%;13%;10%;11%;11%;10%;10%
"IR рейтинг";;;;;;;;;;;;;4.1;4.1;4.1;4.1
"Качество фин.отчетности";;;;;;;;;;;;;5;5;5;5
"Презентации для инвесторов";;;;;;;;;;;;;5;5;5;5
"Присутствие на смартлабе";;;;;;;;;;;;;3;3;3;3
"Годовой отчет";;;;;;;;;;;;;2;2;2;2
"Сайт для инвесторов";;;;;;;;;;;;;4;4;4;4
"Календарь инвесторов";;;;;;;;;;;;;5;5;5;5
"Обратная связь";;;;;;;;;;;;;5;5;5;5
